"","Alces_alces","Alces_latifrons","Alces_sp.","Allophaiomys_pliocaenicus","Aluralagus_bensonesis","Aluralagus_virginiana","Antilocapra_americana","Arctocephalus_townsendi","Arctodus_pristinus","Arctodus_simus","Arctodus_sp.","Atopomys_texensis","Bensonomys_arizonae","Bensonomys_eliasi","Bensonomys_meadensis","Bensonomys_sp.","Bison_alaskensis","Bison_antiquus","Bison_bison","Bison_latifrons","Bison_priscus","Bison_sp.","Bison_taylori","Blancocamelus_meadei","Blastocerus_extraneus","Bootherium_bombifrons","Borophagus_direptor","Borophagus_hilli","Borophagus_sp.","Bos_sp.","Bos_taurus","Brachyopsigale_dubius","Brachyprotoma_obtusata","Bretzia_pseudalces","Buisnictis_breviramus","Buisnictis_burrowsi","Buisnictis_schoffi","Buisnictis_sp.","Callorhinus_ursinus","Calomys_arizonae","Calomys_elachys","Calomys_gidleyi","Calomys_sp.","Camelops_hesternus","Camelops_huerfanensis","Camelops_kansanus","Camelops_minidokae","Camelops_nitidus","Camelops_sp.","Camelops_sulcatus","Camelops_traviswhitei","Canimartes_cumminsii","Canis_armbrusteri","Canis_cedazoensis","Canis_davisi","Canis_dirus","Canis_familiaris","Canis_latrans","Canis_lepophagus","Canis_lupus","Canis_priscolatrans","Canis_rufus","Canis_sp.","Capra_hircus","Capromeryx_furcifer","Capromeryx_gidleyi","Capromeryx_minor","Capromeryx_sp.","Capromeryx_tauntonensis","Castor_accessor","Castor_californicus","Castor_canadensis","Castor_sp.","Castoroides_leiseyorum","Castoroides_ohioensis","Castoroides_sp.","Cervalces_scotti","Cervus_brevitrabalis","Cervus_elaphus","Cervus_nannodes","Cervus_sp.","Chasmaporthetes_ossifragus","Cimarronomys_stirtoni","Coendou_cascoensis","Coendou_sp.","Copemys_sp.","Copemys_vasquezi","Cormohipparion_emsliei","Cryptopterus_webbi","Cupidinimus_idahoensis","Cuvieronius_bensonensis","Cuvieronius_sp.","Cuvieronius_tropicalis","Dinofelis_paleoonca","Dinohippus_sp.","Dipoides_rexroadensis","Dipoides_sp.","Dipoides_wilsoni","Enhydra_lutris","Enhydriodon_sp.","Equus_alaskae","Equus_caballus","Equus_calobatus","Equus_complicatus","Equus_conversidens","Equus_cumminsii","Equus_enormis","Equus_excelsus","Equus_francescana","Equus_francisci","Equus_fraternus","Equus_giganteus","Equus_hemionus","Equus_idahoensis","Equus_kiang","Equus_lambei","Equus_laurentius","Equus_leidyi","Equus_mexicanus","Equus_nevadanus","Equus_niobrarensis","Equus_occidentalis","Equus_scotti","Equus_simplicidens","Equus_sp.","Equus_tau","Equus_verae","Eremotherium_laurillardi","Erethizon_bathygnathus","Erethizon_dorsatum","Erethizon_poyeri","Erethizon_sp.","Erethizon_stirtoni","Erignatus_barbatus","Etadonomys_tiheni","Euceratherium_collinum","Eumetopias_jubatus","Eutamias_cinereicollis","Eutamias_dorsalis","Eutamias_hudsonicus","Eutamias_minimus","Eutamias_quadrivittatus","Eutamias_sp.","Eutamias_townsendii","Eutamias_umbrinus","Felis_domesticus","Felis_lacustris","Felis_sp.","Gigantocamelus_sp.","Gigantocamelus_spatula","Glossotherium_chapadmalensis","Glossotherium_harlani","Glossotherium_sp.","Glyptotherium_arizonae","Glyptotherium_floridanum","Glyptotherium_fredericensis","Glyptotherium_sp.","Glyptotherium_texanum","Guildayomys_hibbardi","Gulo_gulo","Gulo_schlosseri","Gulo_sp.","Halichoerus_grypus","Hayoceros_barbouri","Hayoceros_falkenbachi","Hemiauchenia_blancoensis","Hemiauchenia_macrocephala","Hemiauchenia_sp.","Herpailurus_yagouaroundi","Hesperoscalops_sp.","Hibbardomys_marthae","Hibbardomys_voorhiesi","Hibbardomys_zakrzewskii","Histriphoca_fasciata","Holmesina_septentrionalis","Homotherium_serum","Homotherium_sp.","Hydrochoerus_holmesi","Hypolagus_arizonensis","Hypolagus_browni","Hypolagus_edensis","Hypolagus_furlongi","Hypolagus_gidleyi","Hypolagus_regalis","Hypolagus_ringoldenis","Hypolagus_sp.","Hypolagus_vetus","Hypolagus_virginiae","Hypolagus_voorhiesi","Ischyrosmilus_gracilis","Ischyrosmilus_ischyrus","Ischyrosmilus_sp.","Jacobsomys_verdensis","Javazapus_weeksi","Lasiopodomys_deceitensis","Leptotylopus_percelsus","Liomys_centralis","Lontra_canadensis","Loupomys_sp.","Lutra_canadensis","Lynx_canadensis","Lynx_rufus","Machairodus_sp.","Mammut_americanum","Mammuthus_columbi","Mammuthus_exilis","Mammuthus_haysii","Mammuthus_imperator","Mammuthus_jeffersonii","Mammuthus_primigenius","Mammuthus_sp.","Megalonyx_jeffersonii","Megalonyx_leptostomus","Megalonyx_sp.","Megalonyx_wheatleyi","Megasorex_sp.","Megatylopus_cochrani","Megatylopus_sp.","Mictomys_anzensis","Mictomys_borealis","Mictomys_kansasensis","Mictomys_landesi","Mictomys_meltoni","Mictomys_sp.","Mictomys_vetus","Mimomys_dakotaensis","Mimomys_monahani","Mimomys_panacaensis","Mimomys_peimus","Mimomys_poaphagus","Mimomys_sawrockensis","Mimomys_sp.","Mimomys_vetus","Mimomys_virginanus","Miracinonyx_inexpectatus","Miracinonyx_sp.","Miracinonyx_trumani","Mirounga_angustirostris","Monachus_tropicalis","Mylohyus_floridanus","Mylohyus_nasutus","Mylohyus_sp.","Myocastor_coypus","nannippus_beckensis","nannippus_minor","nannippus_peninsulatus","Nannippus_sp.","napaeozapus_insignis","nasua_narica","nasua_pronarica","navahoceros_fricki","navahoceros_sp.","Nebraskomys_mcgrewi","Nekrolagus_progressus","Neochoerus_dichroplax","Neochoerus_floridana","Neochoerus_lancei","Neochoerus_pinckneyi","Neochoerus_sp.","Nerterogeomys_minor","Nerterogeomys_persimilis","Nerterogeomys_sp.","Nothrotheriops_shastensis","Notolagus_lepusculus","Odobenus_rosmarus","Odocoileus_brachycephalus","Odocoileus_brachyodontus","Odocoileus_cascoensis","Odocoileus_columbianus","Odocoileus_ensifer","Odocoileus_hemionus","Odocoileus_sheridanus","Odocoileus_sp.","Odocoileus_virginianus","Ogmodontomys_poaphagus","Ogmodontomys_sawrockensis","Ogmodontomys_sp.","Ophiomys_fricki","Ophiomys_magilli","Ophiomys_mcknighti","Ophiomys_meadensis","Ophiomys_parvus","Ophiomys_sp.","Ophiomys_taylori","Oreamnos_americanus","Oreamnos_harringtoni","Oreamnos_sp.","Osmotherium_spelaeum","Ovibos_moschatus","Ovibovini_sp.","Ovis_aries","Ovis_canadensis","Ovis_dalli","Ovis_sp.","Pachyarmatherium_leiseyi","Paenemarmota_barbouri","Paenemarmota_sawrockensis","Paenemarmota_sp.","Pagophilus_sp.","Palaeolama_mirifica","Panthera_atrox","Panthera_onca","Panthera_sp.","Paracryptotis_gidleyi","Paracryptotis_rex","Paracryptotis_rexroadi","Paradipoides_stovalli","Parailurus_sp.","Paramylodon_harlani","Paronychomys_sp.","Pewelagus_dawsonae","Phoca_groenlandica","Phoca_hispida","Phoca_sp.","Phoca_vitulina","Phocoena_phocoena","Planisorex_dixonensis","Platygonus_bicalcaratus","Platygonus_compressus","Platygonus_pearcei","Platygonus_sp.","Platygonus_vetus","Pliauchenia_cochrani","Pliauchenia_cochroni","Pliolemmus_antiquus","Pliomastodon_cosoensis","Pliomastodon_sp.","Pliomys_deeringensis","Pliophenacomys_finneyi","Pliophenacomys_idahoensis","Pliophenacomys_meadensis","Pliophenacomys_osborni","Pliophenacomys_primaevus","Pliophenacomys_sp.","Pliopotamys_meadensis","Pliopotamys_minor","Pliosaccomys_dubius","Pliozapus_solus","Praeovibos_priscus","Pratilepus_kansasensis","Pratilepus_sp.","Pratilepus_vagus","Pratilepus_wilsoni","Predicrostonyx_hopkinsi","Procastoroides_idahoensis","Procastoroides_sp.","Procastoroides_sweeti","Procyon_lotor","Procyon_rexroadensis","Prodipodomys_centralis","Prodipodomys_idahoensis","Prodipodomys_minor","Prodipodomys_mirifica","Prodipodomys_riversidensis","Prodipodomys_sp.","Prodipodomys_timoteonsis","Proneofiber_guildayi","Prosigmodon_holocuspi","Prosthennops_edensis","Prothomomys_warrensis","Protocyon_texanus","Puma_concolor","Pusa_sp.","Rangifer_tarandus","Repocerus_idahoensis","Repomys_arizonensis","Repomys_maxumi","Repomys_panacaensis","Repomys_sp.","Reynoldsomys_timoteonsis","Rhynchotherium_praecursor","Saiga_tatarica","Sangamona_fugitiva","Satherium_piscinarium","Smilodon_fatalis","Sminthosinus_bowleri","Soergelia_mayfieldi","Stegomastodon_mirificus","Stegomastodon_sp.","Stockoceros_conklingi","Stockoceros_onusrosagris","Stockoceros_sp.","Sus_scrofa","Symmetrodontomys_simplicidens","Tanupolama_sp.","Tapirus_californicus","Tapirus_haysii","Tapirus_merriami","Tapirus_sp.","Tapirus_veroensis","Taxidea_taxus","Tayassu_sp.","Tayassu_tajacu","Teleopternus_orientalis","Tetrameryx_irvingtonensis","Tetrameryx_knoxensis","Tetrameryx_shuleri","Tetrameryx_sp.","Texoceros_guymonensis","Titanotylopus_fricki","Titanotylopus_sp.","Titanotylopus_spatulus","Torontoceros_hypogaeus","Tremarctos_floridanus","Trigonictis_cooki","Trigonictis_macrodon","Trigonictis_sp.","Tyrannomys_harkseni","Ursus_abstrusus","Ursus_americanus","Ursus_arctos","Ursus_maritimus","Ursus_sp.","Zalophus_californicus","Agouti_paca","nasua_nasua","Pecari_tajacu"
"Lyons_A20_Mod",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Lyons_A21_Mod",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Lyons_A22_Mod",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Lyons_A23_Mod",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Lyons_A24_Mod",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Lyons_A25_Mod",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Lyons_A26_Mod",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lyons_A27_Mod",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Lyons_A28_Mod",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Lyons_A29_Mod",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
